交易日期,原版策略 (baseline),行业热度-top-30%,行业热度-top-40%,行业热度-top-50%,行业热度-bottom-30%,行业热度-bottom-40%
2011-04-29,3.468941924252344,3.0893819802146463,3.0089733529855756,2.1072586756850464,3.4845074214851257,5.98084985193967
2011-05-31,3.598276971869259,3.209215718987802,3.1296261511256107,2.1512299636285075,3.614422808689656,6.203838162865906
2011-06-30,3.8720578062542375,3.5172423429166373,3.4300136170684326,2.314970803058462,3.9653889148568804,6.649853378767013
2011-07-29,3.876866670234757,3.5216105473340122,3.4342734886305695,2.226541351661328,3.998772654866716,7.010908440578685
2011-08-31,3.47396104194931,3.1556251186774342,3.0728569018950327,1.9495149219641195,3.520461287647819,6.382436769404961
2011-09-30,3.7051776586404364,3.36565423376409,3.277377208211845,2.079268894159639,3.697788584839093,6.734709430855717
2011-10-31,3.594111503872919,3.2890391068957103,3.1159946119176922,2.164474129105402,3.742285820031308,6.815751367846027
2011-11-30,2.844451511794877,2.603011133594694,2.466060269711477,1.7104108235731585,3.116141935845927,5.814339069329322
2011-12-30,2.9509818454596104,2.7004990476776025,2.2607612014134135,1.5680194340360425,3.232847613125292,6.06208599125049
2012-01-31,3.5260649409412737,3.2475618525731154,2.7187426123336604,,3.862860303795383,7.243456585681034
2012-02-29,3.3261337922679663,3.1158393556281863,2.608469249822205,1.504419895525097,3.6438325460433756,6.832745886985323
2012-03-30,3.69976469226383,3.15691496662573,2.642856282007037,1.541245350454992,4.053151147952075,7.600281156051158
2012-04-27,3.823121957043721,3.2549621689339383,2.724937892469427,1.58911322028367,4.188290996277108,8.406718327783748
2012-05-31,3.449601423552084,2.884046252831955,2.414420355782561,1.3999621509127769,3.8792596297846895,7.834042703492667
2012-06-29,3.116913038494843,2.5746485054722723,2.117331010975712,1.2276997537817445,3.453538187274905,6.974311652029308
2012-07-31,3.1679820987472507,2.6114630664402703,2.147606449128657,1.2452544713829743,3.562965592382719,7.195296851876472
2012-08-31,3.389076726540692,2.7937180276975484,2.207452425040471,1.2853786558744509,3.732667527870939,7.5380045683883115
2012-09-28,3.6683975939580407,3.1435330427788544,2.4343629044223722,1.4175064805483568,4.040306456048791,7.60445620931358
2012-10-31,3.188347138592091,2.7875037868496224,2.198685077932493,1.3156747758332528,3.524875440078755,6.634338562916211
2012-11-30,3.5824999351019,3.1321031560869463,2.4398719264288555,1.4599989703321627,3.9606308492809315,7.454494895931128
