breakout_window,exit_window,trend_window,base_floor,score,discarded,recent_6m_calmar,recent_6m_maxdd,recent_6m_annret,recent_6m_excess_ret,recent_6m_dd_excess,recent_1y_calmar,recent_1y_maxdd,recent_1y_annret,recent_1y_excess_ret,recent_1y_dd_excess,full_pre_cutoff_calmar,full_pre_cutoff_maxdd,full_pre_cutoff_annret,full_pre_cutoff_excess_ret,full_pre_cutoff_dd_excess
15,10,50,0.7,-inf,full_pre_cutoff 跑输 ETF -15.07pp 超过容忍带 -5.0pp,8.64,-0.0398,0.34369999999999995,-0.023205994787141693,-0.009485714285714264,2.44,-0.0669,0.1635,-0.028917998244073928,-0.023775791274593797,0.78,-0.13,0.1013,-0.15071407035175888,-0.001535947712418273
15,10,50,0.5,-inf,full_pre_cutoff 跑输 ETF -22.11pp 超过容忍带 -5.0pp,9.18,-0.0334,0.30670000000000003,-0.03880599478714175,-0.015885714285714267,2.88,-0.0501,0.1442,-0.04801799824407382,-0.0405757912745938,0.54,-0.12789999999999999,0.0687,-0.2211140703517589,-0.0036359477124182915
15,10,50,0.3,-inf,recent_6m 跑输 ETF -5.74pp 超过容忍带 -5.0pp,9.73,-0.027000000000000003,0.2631,-0.0574059947871417,-0.022285714285714263,3.06,-0.0379,0.1161,-0.07581799824407387,-0.052775791274593795,0.34,-0.13269999999999998,0.0451,-0.27081407035175875,0.0011640522875817072
15,10,30,0.7,-inf,full_pre_cutoff 跑输 ETF -14.86pp 超过容忍带 -5.0pp,9.72,-0.0346,0.3369,-0.02600599478714183,-0.014685714285714267,2.41,-0.0669,0.1612,-0.031217998244073897,-0.023775791274593797,0.79,-0.12990000000000002,0.10220000000000001,-0.1486140703517589,-0.001635947712418262
15,10,30,0.5,-inf,recent_1y 跑输 ETF -5.18pp 超过容忍带 -5.0pp,10.85,-0.027200000000000002,0.2957,-0.04350599478714168,-0.022085714285714264,2.8,-0.0501,0.14029999999999998,-0.05181799824407385,-0.0405757912745938,0.55,-0.1278,0.0704,-0.21741407035175886,-0.0037359477124182805
15,10,30,0.3,-inf,recent_6m 跑输 ETF -6.39pp 超过容忍带 -5.0pp,11.02,-0.0225,0.2483,-0.06390599478714165,-0.026785714285714267,2.96,-0.0379,0.1121,-0.07971799824407388,-0.052775791274593795,0.38,-0.13269999999999998,0.0501,-0.2604140703517588,0.0011640522875817072
15,7,80,0.7,-inf,full_pre_cutoff 跑输 ETF -13.55pp 超过容忍带 -5.0pp,8.83,-0.0398,0.3513,-0.020005994787141823,-0.009485714285714264,2.48,-0.0669,0.1663,-0.026217998244074003,-0.023775791274593797,0.84,-0.12869999999999998,0.1082,-0.13551407035175878,-0.0028359477124182964
15,7,80,0.5,-inf,full_pre_cutoff 跑输 ETF -22.60pp 超过容忍带 -5.0pp,9.47,-0.0334,0.3165,-0.03460599478714177,-0.015885714285714267,2.95,-0.0501,0.1478,-0.044517998244073986,-0.0405757912745938,0.52,-0.1266,0.0664,-0.2260140703517588,-0.004935947712418287
15,7,80,0.3,-inf,recent_6m 跑输 ETF -5.22pp 超过容忍带 -5.0pp,10.17,-0.0271,0.2753,-0.05220599478714183,-0.022185714285714267,3.2,-0.0379,0.1215,-0.0704179982440738,-0.052775791274593795,0.21,-0.13140000000000002,0.0278,-0.3066140703517588,-0.00013594771241826065
15,7,50,0.7,-inf,full_pre_cutoff 跑输 ETF -15.07pp 超过容忍带 -5.0pp,8.64,-0.0398,0.34369999999999995,-0.023205994787141693,-0.009485714285714264,2.44,-0.0669,0.1635,-0.028917998244073928,-0.023775791274593797,0.78,-0.13,0.1013,-0.15071407035175888,-0.001535947712418273
15,7,50,0.5,-inf,full_pre_cutoff 跑输 ETF -22.11pp 超过容忍带 -5.0pp,9.18,-0.0334,0.30670000000000003,-0.03880599478714175,-0.015885714285714267,2.88,-0.0501,0.1442,-0.04801799824407382,-0.0405757912745938,0.54,-0.12789999999999999,0.0687,-0.2211140703517589,-0.0036359477124182915
15,7,50,0.3,-inf,recent_6m 跑输 ETF -5.74pp 超过容忍带 -5.0pp,9.73,-0.027000000000000003,0.2631,-0.0574059947871417,-0.022285714285714263,3.06,-0.0379,0.1161,-0.07581799824407387,-0.052775791274593795,0.34,-0.13269999999999998,0.0451,-0.27081407035175875,0.0011640522875817072
15,7,30,0.7,-inf,full_pre_cutoff 跑输 ETF -14.86pp 超过容忍带 -5.0pp,9.72,-0.0346,0.3369,-0.02600599478714183,-0.014685714285714267,2.41,-0.0669,0.1612,-0.031217998244073897,-0.023775791274593797,0.79,-0.12990000000000002,0.10220000000000001,-0.1486140703517589,-0.001635947712418262
