momentum_short_window,momentum_long_window,trend_window,momentum_threshold,base_floor,score,discarded,recent_6m_calmar,recent_6m_maxdd,recent_6m_annret,recent_6m_excess_ret,recent_6m_dd_excess,recent_1y_calmar,recent_1y_maxdd,recent_1y_annret,recent_1y_excess_ret,recent_1y_dd_excess,full_pre_cutoff_calmar,full_pre_cutoff_maxdd,full_pre_cutoff_annret,full_pre_cutoff_excess_ret,full_pre_cutoff_dd_excess
20,30,60,0.0,0.3,-inf,recent_6m 跑输 ETF -14.10pp 超过容忍带 -5.0pp,9.37,-0.1063,0.9962000000000001,-0.1409818181818181,-0.012039529120198289,9.37,-0.1063,0.9962000000000001,-0.1409818181818181,-0.012039529120198289,9.37,-0.1063,0.9962000000000001,-0.1409818181818181,-0.012039529120198289
15,60,60,0.0,0.3,-inf,recent_6m 跑输 ETF -15.29pp 超过容忍带 -5.0pp,7.99,-0.12,0.9592,-0.15288181818181812,0.001660470879801701,7.99,-0.12,0.9592,-0.15288181818181812,0.001660470879801701,7.99,-0.12,0.9592,-0.15288181818181812,0.001660470879801701
15,60,40,0.02,0.7,-inf,recent_6m 跑输 ETF -6.03pp 超过容忍带 -5.0pp,12.81,-0.0981,1.2575,-0.0602818181818181,-0.020239529120198288,12.81,-0.0981,1.2575,-0.0602818181818181,-0.020239529120198288,12.81,-0.0981,1.2575,-0.0602818181818181,-0.020239529120198288
15,60,40,0.02,0.5,-inf,recent_6m 跑输 ETF -7.99pp 超过容忍带 -5.0pp,13.12,-0.0909,1.1923000000000001,-0.07988181818181816,-0.0274395291201983,13.12,-0.0909,1.1923000000000001,-0.07988181818181816,-0.0274395291201983,13.12,-0.0909,1.1923000000000001,-0.07988181818181816,-0.0274395291201983
15,60,30,0.0,0.5,-inf,recent_6m 跑输 ETF -13.41pp 超过容忍带 -5.0pp,8.13,-0.1252,1.0178,-0.13408181818181797,0.006860470879801711,8.13,-0.1252,1.0178,-0.13408181818181797,0.006860470879801711,8.13,-0.1252,1.0178,-0.13408181818181797,0.006860470879801711
15,40,40,0.02,0.5,-inf,recent_6m 跑输 ETF -10.01pp 超过容忍带 -5.0pp,12.48,-0.09029999999999999,1.1264,-0.10008181818181816,-0.028039529120198303,12.48,-0.09029999999999999,1.1264,-0.10008181818181816,-0.028039529120198303,12.48,-0.09029999999999999,1.1264,-0.10008181818181816,-0.028039529120198303
15,40,40,0.02,0.7,-inf,recent_6m 跑输 ETF -7.03pp 超过容忍带 -5.0pp,12.85,-0.09519999999999999,1.2241,-0.07028181818181811,-0.0231395291201983,12.85,-0.09519999999999999,1.2241,-0.07028181818181811,-0.0231395291201983,12.85,-0.09519999999999999,1.2241,-0.07028181818181811,-0.0231395291201983
15,40,60,0.0,0.3,-inf,recent_6m 跑输 ETF -16.94pp 超过容忍带 -5.0pp,7.57,-0.12,0.9084,-0.16938181818181808,0.001660470879801701,7.57,-0.12,0.9084,-0.16938181818181808,0.001660470879801701,7.57,-0.12,0.9084,-0.16938181818181808,0.001660470879801701
15,40,60,0.0,0.5,-inf,recent_6m 跑输 ETF -12.43pp 超过容忍带 -5.0pp,9.35,-0.1121,1.0489,-0.12428181818181816,-0.006239529120198289,9.35,-0.1121,1.0489,-0.12428181818181816,-0.006239529120198289,9.35,-0.1121,1.0489,-0.12428181818181816,-0.006239529120198289
15,40,60,0.0,0.7,-inf,recent_6m 跑输 ETF -8.39pp 超过容忍带 -5.0pp,10.87,-0.1085,1.1794,-0.08388181818181817,-0.009839529120198295,10.87,-0.1085,1.1794,-0.08388181818181817,-0.009839529120198295,10.87,-0.1085,1.1794,-0.08388181818181817,-0.009839529120198295
15,40,60,0.01,0.3,-inf,recent_6m 跑输 ETF -16.78pp 超过容忍带 -5.0pp,7.68,-0.1189,0.9134,-0.16778181818181803,0.0005604708798017111,7.68,-0.1189,0.9134,-0.16778181818181803,0.0005604708798017111,7.68,-0.1189,0.9134,-0.16778181818181803,0.0005604708798017111
15,40,60,0.01,0.5,-inf,recent_6m 跑输 ETF -12.79pp 超过容忍带 -5.0pp,9.07,-0.1144,1.0375,-0.12788181818181799,-0.003939529120198293,9.07,-0.1144,1.0375,-0.12788181818181799,-0.003939529120198293,9.07,-0.1144,1.0375,-0.12788181818181799,-0.003939529120198293
15,40,60,0.01,0.7,-inf,recent_6m 跑输 ETF -8.71pp 超过容忍带 -5.0pp,10.58,-0.1105,1.1689,-0.08708181818181804,-0.007839529120198294,10.58,-0.1105,1.1689,-0.08708181818181804,-0.007839529120198294,10.58,-0.1105,1.1689,-0.08708181818181804,-0.007839529120198294
15,40,60,0.02,0.3,-inf,recent_6m 跑输 ETF -14.25pp 超过容忍带 -5.0pp,9.68,-0.1024,0.9914000000000001,-0.14248181818181815,-0.01593952912019829,9.68,-0.1024,0.9914000000000001,-0.14248181818181815,-0.01593952912019829,9.68,-0.1024,0.9914000000000001,-0.14248181818181815,-0.01593952912019829
15,40,60,0.02,0.5,-inf,recent_6m 跑输 ETF -10.95pp 超过容忍带 -5.0pp,10.68,-0.1026,1.0961,-0.10948181818181801,-0.015739529120198298,10.68,-0.1026,1.0961,-0.10948181818181801,-0.015739529120198298,10.68,-0.1026,1.0961,-0.10948181818181801,-0.015739529120198298
15,40,60,0.02,0.7,-inf,recent_6m 跑输 ETF -7.58pp 超过容忍带 -5.0pp,11.66,-0.10339999999999999,1.2058,-0.07578181818181817,-0.014939529120198303,11.66,-0.10339999999999999,1.2058,-0.07578181818181817,-0.014939529120198303,11.66,-0.10339999999999999,1.2058,-0.07578181818181817,-0.014939529120198303
15,60,30,0.0,0.3,-inf,recent_6m 跑输 ETF -18.03pp 超过容忍带 -5.0pp,6.36,-0.1376,0.8752,-0.180281818181818,0.019260470879801705,6.36,-0.1376,0.8752,-0.180281818181818,0.019260470879801705,6.36,-0.1376,0.8752,-0.180281818181818,0.019260470879801705
15,60,30,0.0,0.7,-inf,recent_6m 跑输 ETF -8.79pp 超过容忍带 -5.0pp,10.12,-0.1152,1.1662000000000001,-0.08788181818181817,-0.0031395291201982978,10.12,-0.1152,1.1662000000000001,-0.08788181818181817,-0.0031395291201982978,10.12,-0.1152,1.1662000000000001,-0.08788181818181817,-0.0031395291201982978
15,60,40,0.02,0.3,-inf,recent_6m 跑输 ETF -10.66pp 超过容忍带 -5.0pp,12.27,-0.0901,1.1054000000000002,-0.10658181818181811,-0.028239529120198295,12.27,-0.0901,1.1054000000000002,-0.10658181818181811,-0.028239529120198295,12.27,-0.0901,1.1054000000000002,-0.10658181818181811,-0.028239529120198295
15,60,30,0.01,0.3,-inf,recent_6m 跑输 ETF -14.98pp 超过容忍带 -5.0pp,8.21,-0.11800000000000001,0.9686,-0.14978181818181802,-0.00033952912019828696,8.21,-0.11800000000000001,0.9686,-0.14978181818181802,-0.00033952912019828696,8.21,-0.11800000000000001,0.9686,-0.14978181818181802,-0.00033952912019828696
15,60,30,0.01,0.5,-inf,recent_6m 跑输 ETF -10.84pp 超过容忍带 -5.0pp,10.1,-0.10890000000000001,1.0997,-0.10838181818181813,-0.009439529120198284,10.1,-0.10890000000000001,1.0997,-0.10838181818181813,-0.009439529120198284,10.1,-0.10890000000000001,1.0997,-0.10838181818181813,-0.009439529120198284
15,60,30,0.01,0.7,-inf,recent_6m 跑输 ETF -7.15pp 超过容忍带 -5.0pp,11.61,-0.1051,1.22,-0.07148181818181798,-0.013239529120198296,11.61,-0.1051,1.22,-0.07148181818181798,-0.013239529120198296,11.61,-0.1051,1.22,-0.07148181818181798,-0.013239529120198296
15,60,30,0.02,0.3,-inf,recent_6m 跑输 ETF -13.49pp 超过容忍带 -5.0pp,9.37,-0.10830000000000001,1.0154,-0.1348818181818181,-0.010039529120198287,9.37,-0.10830000000000001,1.0154,-0.1348818181818181,-0.010039529120198287,9.37,-0.10830000000000001,1.0154,-0.1348818181818181,-0.010039529120198287
15,60,30,0.02,0.5,-inf,recent_6m 跑输 ETF -9.75pp 超过容忍带 -5.0pp,11.12,-0.102,1.1348,-0.097481818181818,-0.0163395291201983,11.12,-0.102,1.1348,-0.097481818181818,-0.0163395291201983,11.12,-0.102,1.1348,-0.097481818181818,-0.0163395291201983
15,60,30,0.02,0.7,-inf,recent_6m 跑输 ETF -6.50pp 超过容忍带 -5.0pp,12.29,-0.1011,1.2418,-0.06498181818181803,-0.0172395291201983,12.29,-0.1011,1.2418,-0.06498181818181803,-0.0172395291201983,12.29,-0.1011,1.2418,-0.06498181818181803,-0.0172395291201983
15,60,40,0.0,0.3,-inf,recent_6m 跑输 ETF -14.58pp 超过容忍带 -5.0pp,8.51,-0.11539999999999999,0.9813,-0.145781818181818,-0.002939529120198306,8.51,-0.11539999999999999,0.9813,-0.145781818181818,-0.002939529120198306,8.51,-0.11539999999999999,0.9813,-0.145781818181818,-0.002939529120198306
15,60,40,0.0,0.5,-inf,recent_6m 跑输 ETF -10.82pp 超过容忍带 -5.0pp,10.11,-0.10880000000000001,1.1004,-0.10818181818181816,-0.009539529120198287,10.11,-0.10880000000000001,1.1004,-0.10818181818181816,-0.009539529120198287,10.11,-0.10880000000000001,1.1004,-0.10818181818181816,-0.009539529120198287
15,60,40,0.0,0.7,-inf,recent_6m 跑输 ETF -7.35pp 超过容忍带 -5.0pp,11.41,-0.10640000000000001,1.2134,-0.07348181818181798,-0.011939529120198286,11.41,-0.10640000000000001,1.2134,-0.07348181818181798,-0.011939529120198286,11.41,-0.10640000000000001,1.2134,-0.07348181818181798,-0.011939529120198286
15,60,40,0.01,0.3,-inf,recent_6m 跑输 ETF -12.52pp 超过容忍带 -5.0pp,10.24,-0.10220000000000001,1.0458,-0.12518181818181806,-0.01613952912019828,10.24,-0.10220000000000001,1.0458,-0.12518181818181806,-0.01613952912019828,10.24,-0.10220000000000001,1.0458,-0.12518181818181806,-0.01613952912019828
15,60,40,0.01,0.5,-inf,recent_6m 跑输 ETF -9.36pp 超过容忍带 -5.0pp,11.53,-0.09960000000000001,1.1477,-0.09358181818181799,-0.018739529120198287,11.53,-0.09960000000000001,1.1477,-0.09358181818181799,-0.018739529120198287,11.53,-0.09960000000000001,1.1477,-0.09358181818181799,-0.018739529120198287
15,60,40,0.01,0.7,-inf,recent_6m 跑输 ETF -6.85pp 超过容忍带 -5.0pp,11.91,-0.1033,1.2301,-0.06848181818181809,-0.015039529120198292,11.91,-0.1033,1.2301,-0.06848181818181809,-0.015039529120198292,11.91,-0.1033,1.2301,-0.06848181818181809,-0.015039529120198292
20,30,60,0.0,0.5,-inf,recent_6m 跑输 ETF -11.17pp 超过容忍带 -5.0pp,10.19,-0.10679999999999999,1.0892,-0.111681818181818,-0.011539529120198302,10.19,-0.10679999999999999,1.0892,-0.111681818181818,-0.011539529120198302,10.19,-0.10679999999999999,1.0892,-0.111681818181818,-0.011539529120198302
20,30,60,0.01,0.3,-inf,recent_6m 跑输 ETF -15.19pp 超过容忍带 -5.0pp,8.49,-0.1134,0.9621999999999999,-0.151881818181818,-0.004939529120198294,8.49,-0.1134,0.9621999999999999,-0.151881818181818,-0.004939529120198294,8.49,-0.1134,0.9621999999999999,-0.151881818181818,-0.004939529120198294
