k,lev,base,tm,train_CAGR,train_Sh,train_DD,train_Cal,test_CAGR,test_Sh,test_DD,test_Cal,test_alphaCAGR,test_alphaSh
3.0,1.4,0.5,True,0.08996040337555544,0.37754852983102827,-0.2109595062722743,0.4264344611209333,0.18967071670525115,0.7927523233312191,-0.2504657759705443,0.7572719904357597,-0.041271981151332904,-0.0010313588735854085
3.0,1.4,0.5,False,0.08473988581250036,0.36409668745227014,-0.20228625274489312,0.41891074980447324,0.17979905058839907,0.8231380952071222,-0.2202411268822251,0.8163736407167377,-0.05114364726818499,0.02935441300231767
3.0,1.4,0.6,True,0.08493191649708076,0.36927753289521975,-0.17992615437934106,0.47203763560698075,0.17596993167593578,0.7854006854766934,-0.23147768975957547,0.7602025571393386,-0.05497276618064828,-0.008382996728111158
3.0,1.4,0.6,False,0.08005685124384865,0.35508952089120355,-0.17499992641100703,0.45746791376258134,0.1667726051607945,0.8154560991904457,-0.2032242037451624,0.8206335765493897,-0.06417009269578955,0.021672416985641152
3.0,1.6,0.4,True,0.09944000704167855,0.3809163358030393,-0.27716629504116364,0.35877380771320017,0.22228234370357236,0.7954420068346297,-0.3018317655133934,0.7364445002184796,-0.008660354153011696,0.0016583246298251808
3.0,1.6,0.4,False,0.09364889744879346,0.36870456886712,-0.26556604269068673,0.352638825732209,0.21103763319601554,0.8255107505009138,-0.26632310243510726,0.7924120411124954,-0.019905064660568517,0.03172706829610927
3.0,1.6,0.5,True,0.09446729909251173,0.37407915851283075,-0.24290988089044682,0.38889854437463905,0.2080555028760449,0.7893516720224673,-0.2824993970260642,0.7364812281593972,-0.02288719498053915,-0.004432010182337298
3.0,1.6,0.5,False,0.08895905416592731,0.3613927847925965,-0.2334399691418487,0.38107893216808886,0.19749606604454217,0.8199845471009649,-0.2490478103593156,0.7930046273428513,-0.03344663181204188,0.02620086489616036
3.0,1.6,0.6,True,0.0892429453750403,0.36661567344023943,-0.2083562586483207,0.42831900492929864,0.19287217405322066,0.7822435603625186,-0.2615110535257877,0.7375297198831463,-0.0380705238033634,-0.011540121842285922
3.0,1.6,0.6,False,0.08406243306613814,0.35329819711782423,-0.20085288659505635,0.4185273833560488,0.18304904775132425,0.8130052213403443,-0.23015041464355396,0.7953452877103087,-0.04789365010525981,0.0192215391355397
3.0,1.8,0.4,True,0.1032799340053061,0.37708608602514093,-0.3113351731598669,0.3317323030259517,0.241540592577006,0.7963989982630403,-0.3324789121761706,0.7264839474962577,0.010597894720421941,0.002615316058235728
3.0,1.8,0.4,False,0.09737293854907225,0.3649969382591414,-0.2989828804048501,0.32568064906331895,0.22943278343292728,0.8222706125734848,-0.2958409282084309,0.775527526979916,-0.0015099144236567774,0.02848693036868022
3.0,1.8,0.5,True,0.09827947324276787,0.370468290723746,-0.27402025401887403,0.35865769701825967,0.22646425017317062,0.7899261859660883,-0.311936824957315,0.7259939579245243,-0.0044784476834134335,-0.0038574962387162293
3.0,1.8,0.5,False,0.0926091220625016,0.35823137614035294,-0.2638160586363271,0.35103671300830147,0.21461891117893162,0.8168962700914287,-0.27700760635388927,0.7747762381107565,-0.01632378667765244,0.02311258788662418
3.0,1.8,0.6,True,0.09291570735912313,0.36312068349999727,-0.23614439868838025,0.39346987637736064,0.2093330529487598,0.7800759257626257,-0.28953820106372297,0.7229894092720731,-0.021609644907824244,-0.013707756442178809
3.0,1.8,0.6,False,0.08758668552379856,0.35080071878783176,-0.22803245844180084,0.38409744876803453,0.1987979088004399,0.8102335598549482,-0.2563554690118097,0.7754775412701718,-0.03214478905614415,0.016449877650143607
