breakout_window,exit_window,trend_window,base_floor,score,discarded,recent_6m_calmar,recent_6m_maxdd,recent_6m_annret,recent_6m_excess_ret,recent_6m_dd_excess,recent_1y_calmar,recent_1y_maxdd,recent_1y_annret,recent_1y_excess_ret,recent_1y_dd_excess,full_pre_cutoff_calmar,full_pre_cutoff_maxdd,full_pre_cutoff_annret,full_pre_cutoff_excess_ret,full_pre_cutoff_dd_excess
15,3,30,0.5,-1.7378550440744656,,8.0,-0.1226,0.9811,-0.017378550440744656,-0.04144647983595355,8.0,-0.1226,0.9811,-0.017378550440744656,-0.04144647983595355,8.0,-0.1226,0.9811,-0.017378550440744656,-0.04144647983595355
8,3,30,0.5,-1.7378550440744656,,8.0,-0.1226,0.9811,-0.017378550440744656,-0.04144647983595355,8.0,-0.1226,0.9811,-0.017378550440744656,-0.04144647983595355,8.0,-0.1226,0.9811,-0.017378550440744656,-0.04144647983595355
10,3,30,0.5,-1.7378550440744656,,8.0,-0.1226,0.9811,-0.017378550440744656,-0.04144647983595355,8.0,-0.1226,0.9811,-0.017378550440744656,-0.04144647983595355,8.0,-0.1226,0.9811,-0.017378550440744656,-0.04144647983595355
20,3,30,0.5,-1.7378550440744656,,8.0,-0.1226,0.9811,-0.017378550440744656,-0.04144647983595355,8.0,-0.1226,0.9811,-0.017378550440744656,-0.04144647983595355,8.0,-0.1226,0.9811,-0.017378550440744656,-0.04144647983595355
8,3,40,0.5,-1.7378550440744656,,8.0,-0.1226,0.9811,-0.017378550440744656,-0.04144647983595355,8.0,-0.1226,0.9811,-0.017378550440744656,-0.04144647983595355,8.0,-0.1226,0.9811,-0.017378550440744656,-0.04144647983595355
10,3,40,0.5,-1.7378550440744656,,8.0,-0.1226,0.9811,-0.017378550440744656,-0.04144647983595355,8.0,-0.1226,0.9811,-0.017378550440744656,-0.04144647983595355,8.0,-0.1226,0.9811,-0.017378550440744656,-0.04144647983595355
10,3,60,0.3,-1.9978550440744591,,9.13,-0.1059,0.9671,-0.01997855044074459,-0.05814647983595356,9.13,-0.1059,0.9671,-0.01997855044074459,-0.05814647983595356,9.13,-0.1059,0.9671,-0.01997855044074459,-0.05814647983595356
15,3,60,0.3,-1.9978550440744591,,9.13,-0.1059,0.9671,-0.01997855044074459,-0.05814647983595356,9.13,-0.1059,0.9671,-0.01997855044074459,-0.05814647983595356,9.13,-0.1059,0.9671,-0.01997855044074459,-0.05814647983595356
8,3,60,0.3,-1.9978550440744591,,9.13,-0.1059,0.9671,-0.01997855044074459,-0.05814647983595356,9.13,-0.1059,0.9671,-0.01997855044074459,-0.05814647983595356,9.13,-0.1059,0.9671,-0.01997855044074459,-0.05814647983595356
20,3,60,0.3,-1.9978550440744591,,9.13,-0.1059,0.9671,-0.01997855044074459,-0.05814647983595356,9.13,-0.1059,0.9671,-0.01997855044074459,-0.05814647983595356,9.13,-0.1059,0.9671,-0.01997855044074459,-0.05814647983595356
