sigmoid_k,max_leverage,base_position,inertia,crisis_vix,fed_block_weight,restrictive_threshold,pivot_relief,base_floor,score,discarded,recent_6m_calmar,recent_6m_maxdd,recent_6m_annret,recent_6m_excess_ret,recent_6m_dd_excess,recent_1y_calmar,recent_1y_maxdd,recent_1y_annret,recent_1y_excess_ret,recent_1y_dd_excess,full_pre_cutoff_calmar,full_pre_cutoff_maxdd,full_pre_cutoff_annret,full_pre_cutoff_excess_ret,full_pre_cutoff_dd_excess
1.1,1.4,0.45,0.05,40.0,0.3,0.4,0.8,0.7,-inf,recent_1y maxDD=-0.2062 超过绝对阈值 0.2,6.64,-0.0652,0.4329,-0.02264599156118141,-0.005698041863605827,0.92,-0.20620000000000002,0.18989999999999999,-0.03179152542372887,-0.04105274725274724,0.64,-0.2351,0.1496,-1.693180991735538,-0.0761582781456954
1.1,1.4,0.45,0.05,40.0,0.25,0.4,0.6,0.5,-inf,full_pre_cutoff 跑输 ETF -184.95pp 超过容忍带 -5.0pp,6.64,-0.0649,0.4305,-0.023545991561181312,-0.005998041863605821,0.92,-0.1977,0.1826,-0.038991525423728746,-0.049552747252747276,0.74,-0.1977,0.1454,-1.849480991735538,-0.11355827814569541
1.1,1.4,0.45,0.05,40.0,0.25,0.5,0.6,0.7,-inf,recent_1y maxDD=-0.2039 超过绝对阈值 0.2,6.64,-0.0649,0.4305,-0.023545991561181312,-0.005998041863605821,0.94,-0.2039,0.19079999999999997,-0.03099152542372896,-0.043352747252747265,0.63,-0.2354,0.149,-1.7161809917355377,-0.0758582781456954
1.1,1.4,0.45,0.05,40.0,0.25,0.4,0.6,0.7,-inf,recent_1y maxDD=-0.2039 超过绝对阈值 0.2,6.64,-0.0649,0.4305,-0.023545991561181312,-0.005998041863605821,0.94,-0.2039,0.19079999999999997,-0.03099152542372896,-0.043352747252747265,0.63,-0.2354,0.14859999999999998,-1.7307809917355383,-0.0758582781456954
1.1,1.4,0.45,0.05,40.0,0.25,0.4,0.8,0.3,-inf,full_pre_cutoff 跑输 ETF -177.48pp 超过容忍带 -5.0pp,6.64,-0.0649,0.4305,-0.023545991561181312,-0.005998041863605821,0.92,-0.1977,0.1826,-0.038991525423728746,-0.049552747252747276,0.75,-0.19760000000000003,0.1474,-1.774780991735538,-0.11365827814569537
1.1,1.4,0.45,0.05,40.0,0.25,0.4,0.8,0.5,-inf,full_pre_cutoff 跑输 ETF -184.95pp 超过容忍带 -5.0pp,6.64,-0.0649,0.4305,-0.023545991561181312,-0.005998041863605821,0.92,-0.1977,0.1826,-0.038991525423728746,-0.049552747252747276,0.74,-0.1977,0.1454,-1.849480991735538,-0.11355827814569541
1.1,1.4,0.45,0.05,40.0,0.25,0.4,0.8,0.7,-inf,recent_1y maxDD=-0.2039 超过绝对阈值 0.2,6.64,-0.0649,0.4305,-0.023545991561181312,-0.005998041863605821,0.94,-0.2039,0.19079999999999997,-0.03099152542372896,-0.043352747252747265,0.63,-0.2354,0.14859999999999998,-1.7307809917355383,-0.0758582781456954
1.1,1.4,0.45,0.05,40.0,0.25,0.5,0.6,0.3,-inf,full_pre_cutoff 跑输 ETF -175.96pp 超过容忍带 -5.0pp,6.64,-0.0649,0.4305,-0.023545991561181312,-0.005998041863605821,0.92,-0.1977,0.1826,-0.038991525423728746,-0.049552747252747276,0.75,-0.19760000000000003,0.1478,-1.7595809917355378,-0.11365827814569537
1.1,1.4,0.45,0.05,40.0,0.25,0.5,0.6,0.5,-inf,full_pre_cutoff 跑输 ETF -183.43pp 超过容忍带 -5.0pp,6.64,-0.0649,0.4305,-0.023545991561181312,-0.005998041863605821,0.92,-0.1977,0.1826,-0.038991525423728746,-0.049552747252747276,0.74,-0.19760000000000003,0.1458,-1.8342809917355378,-0.11365827814569537
1.1,1.4,0.45,0.05,40.0,0.25,0.5,0.8,0.3,-inf,full_pre_cutoff 跑输 ETF -175.96pp 超过容忍带 -5.0pp,6.64,-0.0649,0.4305,-0.023545991561181312,-0.005998041863605821,0.92,-0.1977,0.1826,-0.038991525423728746,-0.049552747252747276,0.75,-0.19760000000000003,0.1478,-1.7595809917355378,-0.11365827814569537
1.1,1.4,0.45,0.05,40.0,0.3,0.4,0.8,0.5,-inf,recent_1y maxDD=-0.2016 超过绝对阈值 0.2,6.64,-0.0652,0.4329,-0.02264599156118141,-0.005698041863605827,0.91,-0.2016,0.1844,-0.03729152542372893,-0.04565274725274726,0.72,-0.20149999999999998,0.146,-1.8262809917355378,-0.10975827814569541
1.1,1.4,0.45,0.05,40.0,0.25,0.5,0.8,0.5,-inf,full_pre_cutoff 跑输 ETF -183.43pp 超过容忍带 -5.0pp,6.64,-0.0649,0.4305,-0.023545991561181312,-0.005998041863605821,0.92,-0.1977,0.1826,-0.038991525423728746,-0.049552747252747276,0.74,-0.19760000000000003,0.1458,-1.8342809917355378,-0.11365827814569537
1.1,1.4,0.45,0.05,40.0,0.25,0.5,0.8,0.7,-inf,recent_1y maxDD=-0.2039 超过绝对阈值 0.2,6.64,-0.0649,0.4305,-0.023545991561181312,-0.005998041863605821,0.94,-0.2039,0.19079999999999997,-0.03099152542372896,-0.043352747252747265,0.63,-0.2354,0.149,-1.7161809917355377,-0.0758582781456954
1.1,1.4,0.45,0.05,40.0,0.3,0.4,0.6,0.3,-inf,recent_1y maxDD=-0.2016 超过绝对阈值 0.2,6.64,-0.0652,0.4329,-0.02264599156118141,-0.005698041863605827,0.91,-0.2016,0.1844,-0.03729152542372893,-0.04565274725274726,0.74,-0.20149999999999998,0.1487,-1.726380991735538,-0.10975827814569541
1.1,1.4,0.45,0.05,40.0,0.3,0.4,0.6,0.5,-inf,recent_1y maxDD=-0.2016 超过绝对阈值 0.2,6.64,-0.0652,0.4329,-0.02264599156118141,-0.005698041863605827,0.91,-0.2016,0.1844,-0.03729152542372893,-0.04565274725274726,0.72,-0.20149999999999998,0.146,-1.8262809917355378,-0.10975827814569541
1.1,1.4,0.45,0.05,40.0,0.3,0.4,0.6,0.7,-inf,recent_1y maxDD=-0.2062 超过绝对阈值 0.2,6.64,-0.0652,0.4329,-0.02264599156118141,-0.005698041863605827,0.92,-0.20620000000000002,0.18989999999999999,-0.03179152542372887,-0.04105274725274724,0.64,-0.2351,0.1496,-1.693180991735538,-0.0761582781456954
1.1,1.4,0.45,0.05,40.0,0.3,0.4,0.8,0.3,-inf,recent_1y maxDD=-0.2016 超过绝对阈值 0.2,6.64,-0.0652,0.4329,-0.02264599156118141,-0.005698041863605827,0.91,-0.2016,0.1844,-0.03729152542372893,-0.04565274725274726,0.74,-0.20149999999999998,0.1487,-1.726380991735538,-0.10975827814569541
1.2,1.4,0.5,0.05,40.0,0.35,0.5,0.8,0.7,-inf,recent_1y maxDD=-0.2080 超过绝对阈值 0.2,6.65,-0.0654,0.4353,-0.0216459915611813,-0.005498041863605821,0.92,-0.20800000000000002,0.19039999999999999,-0.031391525423728917,-0.039252747252747244,0.64,-0.23379999999999998,0.1502,-1.6701809917355384,-0.07745827814569542
