,NDX,Position,ret,pos_l,cash_ret,strat_ret,turnover,strat_nv,bh_nv
2008-04-09,1826.19,0.39231187507783,-0.010806331047482853,0.39231187507783,0.0001556498627912628,-0.004144865422685753,0.0,1.1039548629394564,1.1401858072250042
2008-04-10,1852.97,0.39231187507783,0.014664410603496991,0.39231187507783,0.0001556498627912628,0.005847608994033133,0.0,1.1104103593249879,1.1569059600664313
2008-04-11,1798.72,0.39231187507783,-0.02927732235276337,0.39231187507783,0.0001556498627912628,-0.011391254656206648,0.0,1.097761392149027,1.1230348513417332
2008-04-14,1790.93,0.39231187507783,-0.004330857498665686,0.39231187507783,0.0001556498627912628,-0.0016044602527324002,0.0,1.0960000776283396,1.118171147434537
2008-04-15,1794.73,0.39231187507783,0.0021218026388523104,0.39231187507783,0.0001556498627912628,0.0009269949450572532,0.0,1.0970160641600835,1.1205436859258522
2008-04-16,1846.89,0.39231187507783,0.02906286739509567,0.39231187507783,0.0001556498627912628,0.011496294576172326,0.0,1.109627683988461,1.153109898480327
2008-04-17,1840.88,0.39231187507783,-0.003254119086680829,0.39231187507783,0.0001556498627912628,-0.0011820429873582962,0.0,1.1083160563660237,1.1493575415506416
2008-04-18,1900.28,0.39231187507783,0.032267176567728484,0.39231187507783,0.0001556498627912628,0.012753383116016995,0.0,1.1224508356464926,1.1864440642833065
2008-04-21,1913.12,0.39231187507783,0.00675689898330778,0.39231187507783,0.0001556498627912628,0.0027453982831169735,0.0,1.1255324102435598,1.194460746975014
2008-04-22,1881.65,0.39231187507783,-0.016449569289955557,0.39231187507783,0.0001556498627912628,-0.006358774799101137,0.0,1.1183754031177313,1.1748123821535164
2008-04-23,1906.66,0.39231187507783,0.013291526054260983,0.39231187507783,0.0001556498627912628,0.005309010082256973,0.0,1.1243128694086317,1.1904274315397783
2008-04-24,1924.58,0.39231187507783,0.009398634260958882,0.39231187507783,0.0001556498627912628,0.0037817824033515297,0.0,1.128564776034023,1.2016158235830332
2008-04-25,1918.58,0.39231187507783,-0.0031175633125148927,0.39231187507783,0.0001556498627912628,-0.001128470535542553,0.0,1.1272912239368174,1.1978697101756934
2008-04-28,1923.26,0.39231187507783,0.0024393040686341294,0.39231187507783,0.0001556498627912628,0.0010515545263148505,0.0,1.128476632125823,1.2007916786334185
2008-04-29,1933.6,0.39231187507783,0.0053762881773655735,0.39231187507783,0.0001556498627912628,0.002203768269085073,0.0,1.1309635331201058,1.2072474807387343
2008-04-30,1917.7,0.6930234433786396,-0.008223003723624278,0.39231187507783,0.0001556498627912628,-0.0031313954363230033,0.0,1.1274220390738456,1.1973202802092837
2008-05-01,1980.44,0.6930234433786396,0.03271627470407257,0.6930234433786396,0.0001556498627912628,0.0225705704247057,0.30071156830080964,1.1528685976051272,1.2364921394053678
2008-05-02,1981.87,0.6930234433786396,0.0007220617640524285,0.6930234433786396,0.0001556498627912628,0.0005481865889739178,0.0,1.1535005847091833,1.2373849631007838
2008-05-05,1975.82,0.6930234433786396,-0.003052672475994833,0.6930234433786396,0.0001556498627912628,-0.002067792731902888,0.0,1.1511153845838757,1.2336076320817162
2008-05-06,1990.61,0.6930234433786396,0.007485499691267439,0.6930234433786396,0.0001556498627912628,0.005235407630370153,0.0,1.1571419428517626,1.2428418016308092
2008-05-07,1951.42,0.6930234433786396,-0.019687432495566592,0.6930234433786396,0.0001556498627912628,-0.013596071400443834,0.0,1.1414093583763019,1.2183734375585342
2008-05-08,1966.86,0.6930234433786396,0.007912187022783401,0.6930234433786396,0.0001556498627912628,0.005531111954103388,0.0,1.1477226213229426,1.228013436060089
2008-05-09,1960.29,0.6930234433786396,-0.003340349592751868,0.6930234433786396,0.0001556498627912628,-0.002267159717939087,0.0,1.1451205508285116,1.2239114418790518
2008-05-12,1997.02,0.6930234433786396,0.018737023603650593,0.6930234433786396,0.0001556498627912628,0.013032977475387031,0.0,1.1600448811740625,1.2468438994543176
2008-05-13,2000.61,0.6930234433786396,0.001797678541026082,0.6930234433786396,0.0001556498627912628,0.0012936142315080337,0.0,1.1615455317415373,1.249085323976376
2008-05-14,1997.3,0.6930234433786396,-0.001654495378909382,0.6930234433786396,0.0001556498627912628,-0.001098823225627578,0.0,1.1602691985336357,1.2470187180799934
2008-05-15,2031.34,0.6930234433786396,0.017043008060882103,0.6930234433786396,0.0001556498627912628,0.011858984990800677,0.0,1.1740288135443344,1.2682716681443016
2008-05-16,2031.27,0.6930234433786396,-3.4460011617887254e-05,0.6930234433786396,0.0001556498627912628,2.3899263007952906e-05,0.0,1.1740568719677282,1.2682279634878828
2008-05-19,2016.6,0.6930234433786396,-0.007222082736416224,0.6930234433786396,0.0001556498627912628,-0.0049572917874383515,0.0,1.1682367294783371,1.2590687162069367
2008-05-20,2000.67,0.6930234433786396,-0.007899434692055896,0.6930234433786396,0.0001556498627912628,-0.005426712572115012,0.0,1.1618970445312704,1.2491227851104494
2008-05-21,1956.8,0.6930234433786396,-0.021927654235831096,0.6930234433786396,0.0001556498627912628,-0.01514859758481363,0.0,1.1442959337686818,1.2217324525804492
2008-05-22,1964.92,0.6930234433786396,0.004149632052330432,0.6930234433786396,0.0001556498627912628,0.0029235731525786564,0.0,1.1476413666392529,1.2268021927250492
2008-05-23,1958.96,0.6930234433786396,-0.0030332023695621713,0.6930234433786396,0.0001556498627912628,-0.002054299491699976,0.0,1.145283767563112,1.2230810534070915
2008-05-26,1958.96,0.6930234433786396,0.0,0.6930234433786396,0.0001556498627912628,4.778085891824906e-05,0.0,1.1453384902052315,1.2230810534070915
2008-05-27,1995.44,0.6930234433786396,0.01862212602605462,0.6930234433786396,0.0001556498627912628,0.012953350760525605,0.0,1.1601744614083906,1.245857422923718
2008-05-28,2000.07,0.6930234433786396,0.00232029026179692,0.6930234433786396,0.0001556498627912628,0.001655796405786676,0.0,1.162095474111676,1.2487481737697153
2008-05-29,2019.02,0.6930234433786396,0.009474668386606488,0.6930234433786396,0.0001556498627912628,0.006613948169075018,0.0,1.1697815133449674,1.2605796486145637
2008-05-30,2032.57,0.6930234433786396,0.006711176709492728,0.6930234433786396,0.0001556498627912628,0.004698783651253428,0.0,1.1752780635954114,1.2690396213928063
2008-06-02,2006.84,0.8498570643507786,-0.012658850617690898,0.6930234433786396,0.0001556498627912628,-0.008725099385369715,0.0,1.1650236456850966,1.2529750383976639
2008-06-03,1996.79,0.8498570643507786,-0.005007873074086566,0.8498570643507786,0.0001556498627912628,-0.004311023392537709,0.15683362097213893,1.1600012014956886,1.2467002984403697
2008-06-04,2021.45,0.8498570643507786,0.012349821463448984,0.8498570643507786,0.0001556498627912628,0.010518952741515868,0.0,1.1722031993143236,1.2620968245445368
2008-06-05,2055.11,0.8498570643507786,0.01665141358925526,0.8498570643507786,0.0001556498627912628,0.014174691197588015,0.0,1.1888188176854289,1.2831125207597136
2008-06-06,1990.39,0.8498570643507786,-0.0314922315593813,0.8498570643507786,0.0001556498627912628,-0.026740525735577853,0.0,1.1570291774961725,1.2427044441392072
2008-06-09,1979.71,0.8498570643507786,-0.005365782585322498,0.8498570643507786,0.0001556498627912628,-0.004536778508573831,0.0,1.151779992389915,1.2360363622741422
2008-06-10,1972.54,0.8498570643507786,-0.0036217425784584867,0.8498570643507786,0.0001556498627912628,-0.0030545937882300697,0.0,1.1482617723797532,1.231559756752371
2008-06-11,1924.33,0.8498570643507786,-0.024440569012542213,0.8498570643507786,0.0001556498627912628,-0.02074762050472885,0.0,1.1244380728863308,1.201459735524395
2008-06-12,1924.26,0.8498570643507786,-3.6376297204654406e-05,0.8498570643507786,0.0001556498627912628,-7.544925821420312e-06,0.0,1.12442958908448,1.2014160308679762
2008-06-13,1966.01,0.8498570643507786,0.021696652219554524,0.8498570643507786,0.0001556498627912628,0.018462422888883293,0.0,1.1451892836669308,1.2274827366607162
2008-06-16,1984.76,0.8498570643507786,0.00953708272084075,0.8498570643507786,0.0001556498627912628,0.008128526850937134,0.0,1.154497985508623,1.2391893410586534
2008-06-17,1972.82,0.8498570643507786,-0.006015840706181108,0.8498570643507786,0.0001556498627912628,-0.005089234994824113,0.0,1.1486224739593185,1.231734575378047
2008-06-18,1951.1,0.8498570643507786,-0.011009620745937254,0.8498570643507786,0.0001556498627912628,-0.009333234239424785,0.0,1.1379021113571886,1.2181736448434768
