,NDX,SPX,Position,QQQ_weight,ret_ndx,ret_spx,pos_l,qw_l,cash_ret,asset_ret,strat_ret,turnover,strat_nv,bh_ndx_nv,bh_spx_nv
2024-12-23,21503.17,5974.07,1.3,1.0,0.010053008222498105,0.007287319692792726,1.3,1.0,0.0001556498627912628,0.010053008222498105,0.013009386879723727,0.0,4.123783628464212,4.937468714840079,2.9169693951289997
2024-12-24,21797.65,6040.04,1.3,1.0,0.013694725010312547,0.011042722967758989,1.3,1.0,0.0001556498627912628,0.013694725010312547,0.017743618703882504,0.0,4.196954472784993,5.005085991136835,2.9491806800648406
2024-12-25,21797.65,6040.04,1.3,1.0,0.0,0.0,1.3,1.0,0.0001556498627912628,0.0,-5.952380952380953e-05,0.0,4.196704654066375,5.005085991136835,2.9491806800648406
2024-12-26,21768.31,6037.59,1.3,1.0,-0.0013460166577590194,-0.00040562645280495246,1.3,1.0,0.0001556498627912628,-0.0013460166577590194,-0.0018093454646105347,0.0,4.18911136553423,4.998349062019249,2.947984414366905
2024-12-27,21473.01,5970.84,1.3,1.0,-0.013565591449221537,-0.011055735815118317,1.3,1.0,0.0001556498627912628,-0.013565591449221537,-0.017694792693511808,0.0,4.114985908351068,4.930543500723296,2.915392277494578
2024-12-30,21197.09,5906.94,1.3,1.0,-0.01284961912652205,-0.010702011777237508,1.3,1.0,0.0001556498627912628,-0.01284961912652205,-0.016764028674002472,0.0,4.0460021665903545,4.867187894652253,2.884191715005564
2024-12-31,21012.17,5881.63,1.3,1.0,-0.00872383897978457,-0.004284790432948271,1.3,1.0,0.0001556498627912628,-0.00872383897978457,-0.011400514483243751,0.0,3.9998756602909054,4.82472733117495,2.8718335579383196
2025-01-01,21012.17,5881.63,1.3,1.0,0.0,0.0,1.3,1.0,0.0001556498627912628,0.0,-5.952380952380953e-05,0.0,3.999637572453983,4.82472733117495,2.8718335579383196
2025-01-02,20975.62,5868.55,1.3,1.0,-0.0017394681272805412,-0.002223873314030289,1.3,1.0,0.0001556498627912628,-0.0017394681272805412,-0.0023208323749885134,0.0,3.9903550840876116,4.816334871759552,2.865446963926484
2025-01-03,21326.16,5942.47,1.3,1.0,0.01671178253610628,0.012595956411720177,1.3,1.0,0.0001556498627912628,0.01671178253610628,0.021665793487414355,0.0,4.076809293280907,4.896824412757463,2.9015400089841976
