,price,pos,ret,pos_l,cash_ret,strat_ret,turnover,strat_nv,bh_nv
2022-02-17,4380.26,0.3,-0.021173137043269175,0.3,7.85849419846496e-05,-0.006296931653591497,0.0,1.7025736238170717,2.1387570555262574
2022-02-18,4348.87,0.3,-0.007166241273349194,0.3,7.85849419846496e-05,-0.0020948629226155034,0.0,1.6990069654595141,2.1234302064412782
2022-02-21,4348.87,0.3,0.0,0.3,7.85849419846496e-05,5.500945938925472e-05,0.0,1.6991004269141825,2.1234302064412782
2022-02-22,4304.76,0.3,-0.010142864698185927,0.3,7.85849419846496e-05,-0.002987849950066523,0.0,1.694023769788469,2.101892541161303
2022-02-23,4225.5,0.3,-0.018412176288573612,0.3,7.85849419846496e-05,-0.005468643427182829,0.0,1.6847597578343239,2.0631921251538032
2022-02-24,4288.7,0.3,0.014956809844988816,0.3,7.85849419846496e-05,0.0045420524128858995,0.0,1.6924120249575283,2.094050897443407
2022-02-25,4384.65,0.3,0.022372746986266234,0.3,7.85849419846496e-05,0.006766833555269125,0.0,1.7038642954373517,2.140900568348272
2022-02-28,4373.94,0.0,-0.002442612295166069,0.3,7.85849419846496e-05,-0.000677774229160566,0.0,1.7027094601279174,2.1356711782972964
2022-03-01,4306.26,0.0,-0.015473463284818578,0.0,7.85849419846496e-05,-7.141505801535038e-05,0.3,1.7025878610330392,2.102624948731468
2022-03-02,4386.54,0.0,0.018642627244987553,0.0,7.85849419846496e-05,7.85849419846496e-05,0.0,1.7027216588013223,2.14182340188668
2022-03-03,4363.49,0.0,-0.005254711002293466,0.0,7.85849419846496e-05,7.85849419846496e-05,0.0,1.7028554670840952,2.1305687388918164
2022-03-04,4328.87,0.0,-0.00793401612012401,0.0,7.85849419846496e-05,7.85849419846496e-05,0.0,1.7029892858821842,2.1136647721724167
2022-03-07,4201.09,0.0,-0.02951809594651711,0.0,7.85849419846496e-05,7.85849419846496e-05,0.0,1.7031231151964157,2.051273412628658
2022-03-08,4170.7,0.0,-0.007233836932796112,0.0,7.85849419846496e-05,7.85849419846496e-05,0.0,1.7032569550276162,2.036434835257122
2022-03-09,4277.88,0.0,0.025698324022346508,0.0,7.85849419846496e-05,7.85849419846496e-05,0.0,1.703390805376612,2.0887677975039534
2022-03-10,4259.52,0.0,-0.0042918454935622075,0.0,7.85849419846496e-05,7.85849419846496e-05,0.0,1.7035246662442298,2.079803128845138
2022-03-11,4204.31,0.0,-0.012961554353542182,0.0,7.85849419846496e-05,7.85849419846496e-05,0.0,1.703658537631296,2.052845647545945
2022-03-14,4173.11,0.0,-0.00742095611408311,0.0,7.85849419846496e-05,7.85849419846496e-05,0.0,1.7037924195386374,2.03761157008652
2022-03-15,4262.45,0.0,0.021408493905025416,0.0,7.85849419846496e-05,7.85849419846496e-05,0.0,1.7039263119670807,2.081233764965526
2022-03-16,4357.86,0.0,0.022383840279651235,0.0,7.85849419846496e-05,7.85849419846496e-05,0.0,1.7040602149174526,2.1278197691451317
2022-03-17,4411.67,0.0,0.012347803738532281,0.0,7.85849419846496e-05,7.85849419846496e-05,0.0,1.7041941283905804,2.154093670045505
2022-03-18,4463.12,0.0,0.011662250349640857,0.0,7.85849419846496e-05,7.85849419846496e-05,0.0,1.7043280523872906,2.1792152497021524
