date,pe_median,pe_mean,pe_median_q10y
2006-08-14,35.09,56.16,
2006-08-15,33.93,55.01,
2006-08-16,34.5,55.82,
2006-08-17,34.98,56.47,
2006-08-18,34.2,56.09,
2006-08-21,34.31,55.7,
2006-08-22,34.47,55.65,
2006-08-23,34.84,56.23,
2006-08-24,34.89,56.06,
2006-08-25,35.13,56.69,
2006-08-28,35.28,56.6,
2006-08-29,36.03,57.4,
2006-08-30,35.76,57.2,
2006-08-31,36.19,57.66,
2006-09-01,36.39,57.96,
2006-09-04,35.66,57.49,
2006-09-05,36.73,58.21,
2006-09-06,36.86,58.39,
2006-09-07,37.4,58.2,
2006-09-08,36.66,57.81,
2006-09-11,36.34,57.5,
2006-09-12,36.71,57.78,
2006-09-13,36.95,57.97,
2006-09-14,36.73,57.42,
2006-09-15,36.28,57.34,
2006-09-18,36.82,58.26,
2006-09-19,37.13,58.49,
2006-09-20,37.3,58.4,
2006-09-21,37.57,58.34,
2006-09-22,38.01,58.24,
2006-09-25,37.64,57.9,
2006-09-26,37.7,57.95,
2006-09-27,37.13,57.89,
2006-09-28,37.62,58.18,
2006-09-29,37.7,58.5,
2006-10-09,38.13,58.75,
2006-10-10,38.5,59.85,
2006-10-11,38.82,60.22,
2006-10-12,39.04,60.44,
2006-10-13,38.3,60.01,
2006-10-16,38.4,59.95,
2006-10-17,38.41,59.5,
2006-10-18,37.85,59.57,
2006-10-19,38.42,60.3,
2006-10-20,38.96,60.59,
2006-10-23,38.47,60.45,
2006-10-24,37.22,58.89,
2006-10-25,38.3,59.75,
2006-10-26,38.35,59.51,
2006-10-27,38.12,59.22,
2006-10-30,37.63,58.0,
2006-10-31,36.99,58.01,
2006-11-01,37.09,58.31,
2006-11-02,37.05,58.67,
2006-11-03,37.05,58.57,
2006-11-06,37.44,58.5,
2006-11-07,37.56,58.17,
2006-11-08,37.4,58.08,
2006-11-09,37.29,57.99,
2006-11-10,37.53,58.49,
2006-11-13,36.78,57.65,
2006-11-14,35.47,56.65,
2006-11-15,35.9,56.83,
2006-11-16,36.26,57.5,
2006-11-17,35.62,56.62,
2006-11-20,36.45,56.51,
2006-11-21,36.62,56.27,
2006-11-22,36.86,56.6,
2006-11-23,37.02,57.45,
2006-11-24,37.17,57.77,
2006-11-27,37.74,58.6,
2006-11-28,38.54,59.2,
2006-11-29,39.02,59.62,
2006-11-30,39.28,59.99,
2006-12-01,39.99,60.87,
2006-12-04,39.51,61.0,
2006-12-05,40.1,61.92,
2006-12-06,40.61,61.65,
2006-12-07,39.86,61.11,
2006-12-08,39.53,60.49,
2006-12-11,38.17,59.14,
2006-12-12,39.28,59.91,
2006-12-13,39.17,59.75,
2006-12-14,39.39,59.9,
2006-12-15,39.91,61.13,
2006-12-18,40.57,61.75,
2006-12-19,41.21,62.13,
2006-12-20,41.39,62.34,
2006-12-21,42.03,62.93,
2006-12-22,41.8,62.67,
2006-12-25,41.67,61.87,
2006-12-26,42.1,62.53,
2006-12-27,41.66,62.55,
2006-12-28,41.87,62.66,
2006-12-29,40.92,61.26,
2007-01-04,41.43,61.72,
2007-01-05,41.47,61.78,
2007-01-08,42.44,62.96,
2007-01-09,44.27,64.81,
2007-01-10,45.01,65.0,
2007-01-11,46.04,65.48,
2007-01-12,45.83,65.98,
2007-01-15,44.28,65.44,
2007-01-16,46.7,67.31,
2007-01-17,47.74,68.39,
2007-01-18,47.44,67.91,
2007-01-19,48.74,68.93,
2007-01-22,50.05,70.05,
2007-01-23,52.1,72.6,
2007-01-24,52.16,72.43,
2007-01-25,52.37,72.75,
2007-01-26,50.43,70.23,
2007-01-29,50.97,71.05,
2007-01-30,52.52,72.13,
2007-01-31,52.12,72.3,
2007-02-01,49.54,69.81,
2007-02-02,49.65,69.79,
2007-02-05,48.66,69.08,
2007-02-06,49.23,68.89,
2007-02-07,49.78,69.84,
2007-02-08,50.71,70.52,
2007-02-09,51.16,71.08,
2007-02-12,51.35,70.99,
2007-02-13,52.2,72.54,
2007-02-14,53.11,73.42,
2007-02-15,54.2,74.63,
2007-02-16,55.92,76.19,
2007-02-26,56.66,77.22,
2007-02-27,58.56,78.93,
2007-02-28,53.41,73.77,
2007-03-01,55.16,75.49,
2007-03-02,54.04,74.33,
2007-03-05,54.77,74.96,
2007-03-06,54.79,75.01,
2007-03-07,55.28,75.98,
2007-03-08,56.04,77.17,
2007-03-09,56.73,78.29,
2007-03-12,57.43,78.56,
2007-03-13,58.68,79.55,
2007-03-14,59.09,80.21,
2007-03-15,58.62,79.32,
2007-03-16,59.53,80.0,
2007-03-19,58.66,79.6,
2007-03-20,59.47,79.85,
2007-03-21,60.9,81.48,
2007-03-22,61.91,82.23,
2007-03-23,61.54,82.18,
2007-03-26,62.38,82.56,
2007-03-27,64.03,84.11,
2007-03-28,64.1,84.28,
2007-03-29,63.94,84.72,
2007-03-30,61.96,82.79,
2007-04-02,62.68,83.41,
2007-04-03,64.24,84.33,
2007-04-04,64.94,84.51,
2007-04-05,64.86,85.14,
2007-04-06,65.94,85.98,
2007-04-09,66.48,86.42,
2007-04-10,67.81,87.24,
2007-04-11,67.42,87.35,
2007-04-12,68.42,87.89,
2007-04-13,69.77,88.7,
2007-04-16,69.75,89.59,
2007-04-17,70.54,89.66,
2007-04-18,70.44,89.68,
2007-04-19,70.54,90.13,
2007-04-20,66.54,85.51,
2007-04-23,67.65,87.04,
2007-04-24,68.45,89.07,
2007-04-25,67.3,87.47,
2007-04-26,66.25,85.76,
2007-04-27,64.61,85.31,
2007-04-30,61.77,82.5,
2007-05-08,58.36,79.78,
2007-05-09,60.77,81.69,
2007-05-10,60.25,81.12,
2007-05-11,60.43,81.32,
2007-05-14,59.99,81.02,
2007-05-15,60.18,81.12,
2007-05-16,58.77,80.09,
2007-05-17,60.31,81.17,
2007-05-18,61.58,82.23,
2007-05-21,62.0,81.97,
2007-05-22,62.7,83.07,
2007-05-23,63.36,84.0,
2007-05-24,64.85,85.53,
2007-05-25,64.36,85.17,
2007-05-28,65.07,86.05,
2007-05-29,66.55,87.49,
2007-05-30,67.27,88.4,
2007-05-31,62.73,84.79,
2007-06-01,61.38,82.9,
2007-06-04,58.63,78.9,
2007-06-05,54.46,73.96,
2007-06-06,55.19,74.64,
2007-06-07,56.1,75.42,
2007-06-08,59.02,78.71,
2007-06-11,59.78,79.64,
2007-06-12,61.55,80.45,
2007-06-13,63.0,81.74,
2007-06-14,64.53,84.05,
2007-06-15,64.07,83.14,
2007-06-18,63.85,83.36,
2007-06-19,66.23,85.01,
2007-06-20,66.89,86.22,
2007-06-21,65.72,84.53,
2007-06-22,65.84,83.84,
2007-06-25,61.7,81.18,
2007-06-26,58.18,77.87,
2007-06-27,59.12,79.3,
2007-06-28,60.69,80.36,
2007-06-29,56.75,76.26,
2007-07-02,55.2,73.96,
2007-07-03,55.63,74.88,
2007-07-04,56.81,75.68,
2007-07-05,55.37,74.66,
2007-07-06,51.82,70.93,
2007-07-09,54.36,74.38,
2007-07-10,56.01,76.01,
2007-07-11,54.57,74.15,
2007-07-12,55.45,74.99,
2007-07-13,55.45,75.05,
2007-07-16,55.4,74.45,
2007-07-17,54.05,72.98,
2007-07-18,55.32,74.14,
2007-07-19,55.41,74.35,
2007-07-20,55.58,74.26,
2007-07-23,57.1,76.36,
2007-07-24,59.8,78.92,
2007-07-25,59.78,79.16,
2007-07-26,60.85,80.32,
2007-07-27,61.85,81.53,
2007-07-30,62.85,82.64,
2007-07-31,63.73,83.53,
2007-08-01,64.16,83.55,
2007-08-02,60.39,79.8,
2007-08-03,62.54,81.99,
2007-08-06,62.99,83.32,
2007-08-07,64.51,84.47,
2007-08-08,64.13,84.26,
2007-08-09,62.92,83.92,
2007-08-10,63.85,84.04,
2007-08-13,62.02,83.26,
2007-08-14,61.89,82.17,
2007-08-15,63.01,83.22,
2007-08-16,62.86,82.77,
2007-08-17,62.23,82.67,
2007-08-20,61.37,81.38,
2007-08-21,63.43,83.28,
2007-08-22,63.63,83.81,
2007-08-23,63.44,84.07,
2007-08-24,64.3,84.59,
2007-08-27,64.27,83.98,
2007-08-28,63.08,82.69,
2007-08-29,63.16,82.35,
2007-08-30,61.82,81.16,
2007-08-31,63.16,82.16,
2007-09-03,63.52,81.49,
2007-09-04,64.39,82.72,
2007-09-05,63.84,82.6,
2007-09-06,64.08,82.58,
2007-09-07,64.55,82.74,
2007-09-10,63.0,82.18,
2007-09-11,63.76,83.33,
2007-09-12,60.67,79.16,
2007-09-13,61.18,80.14,
2007-09-14,62.94,81.54,
2007-09-17,63.26,81.69,
2007-09-18,64.49,83.02,
2007-09-19,64.94,82.84,
2007-09-20,64.13,82.34,
2007-09-21,64.78,82.64,
2007-09-24,64.62,82.28,
2007-09-25,64.48,82.69,
2007-09-26,63.32,82.48,
2007-09-27,62.87,81.79,
2007-09-28,63.19,82.1,
2007-10-08,63.8,82.64,
2007-10-09,64.12,84.31,
2007-10-10,64.65,83.95,
2007-10-11,64.26,84.13,
2007-10-12,63.63,83.18,
2007-10-15,62.41,81.78,
2007-10-16,63.09,81.48,
2007-10-17,64.15,82.31,
2007-10-18,63.58,81.82,
2007-10-19,62.01,80.97,
2007-10-22,61.29,80.61,
2007-10-23,59.91,79.0,
2007-10-24,58.99,77.85,
2007-10-25,57.23,76.21,
2007-10-26,52.83,71.76,
2007-10-29,52.63,71.31,
2007-10-30,53.12,71.68,
2007-10-31,53.58,71.98,
2007-11-01,54.88,72.89,
2007-11-02,53.74,71.75,
2007-11-05,52.23,70.31,
2007-11-06,52.79,71.24,
2007-11-07,53.06,71.4,
2007-11-08,52.69,71.02,
2007-11-09,50.57,69.54,
2007-11-12,50.41,68.43,
2007-11-13,49.42,68.13,
2007-11-14,49.2,68.67,
2007-11-15,50.91,70.4,
2007-11-16,50.37,69.54,
2007-11-19,50.62,70.0,
2007-11-20,51.6,71.34,
2007-11-21,52.73,72.0,
2007-11-22,52.07,71.45,
2007-11-23,50.1,69.45,
2007-11-26,51.04,70.22,
2007-11-27,50.65,70.25,
2007-11-28,50.0,69.57,
2007-11-29,49.49,69.16,
2007-11-30,50.71,70.3,
2007-12-03,49.9,69.15,
2007-12-04,50.09,69.69,
2007-12-05,50.42,70.04,
2007-12-06,51.27,70.91,
2007-12-07,51.5,70.81,
2007-12-10,52.66,71.65,
2007-12-11,54.36,73.18,
2007-12-12,54.89,73.62,
2007-12-13,55.02,73.8,
2007-12-14,54.23,72.35,
2007-12-17,54.68,73.5,
2007-12-18,54.67,73.65,
2007-12-19,53.97,73.18,
2007-12-20,55.14,73.59,
2007-12-21,55.87,74.48,
2007-12-24,56.82,75.17,
2007-12-25,58.02,75.98,
2007-12-26,58.48,76.02,
2007-12-27,59.56,77.15,
2007-12-28,60.03,77.86,
2008-01-02,60.03,77.87,
2008-01-03,62.23,79.95,
2008-01-04,63.26,80.74,
2008-01-07,63.02,80.81,
2008-01-08,63.87,82.13,
2008-01-09,63.1,80.67,
2008-01-10,64.7,82.53,
2008-01-11,65.27,82.79,
2008-01-14,64.7,83.24,
2008-01-15,65.44,83.85,
2008-01-16,65.98,83.59,
2008-01-17,65.33,83.05,
2008-01-18,63.46,81.59,
2008-01-21,63.63,82.0,
2008-01-22,62.48,79.71,
2008-01-23,57.36,75.09,
2008-01-24,59.47,77.47,
2008-01-25,61.42,79.35,
2008-01-28,61.28,79.27,
2008-01-29,57.02,75.64,
2008-01-30,58.01,76.07,
2008-01-31,58.39,77.01,
2008-02-01,56.47,74.35,
2008-02-04,54.61,72.86,
2008-02-05,58.55,75.81,
2008-02-13,58.34,76.09,
2008-02-14,57.83,75.9,
2008-02-15,58.91,77.2,
2008-02-18,58.63,77.04,
2008-02-19,60.07,78.1,
2008-02-20,61.54,79.46,
2008-02-21,60.91,79.38,
2008-02-22,61.24,79.82,
2008-02-25,59.7,78.2,
2008-02-26,57.75,75.65,
2008-02-27,57.18,75.75,
2008-02-28,58.29,77.35,
2008-02-29,58.35,77.08,
2008-03-03,58.81,77.83,
2008-03-04,60.47,80.22,
2008-03-05,59.76,79.41,
2008-03-06,59.68,79.55,
2008-03-07,60.04,79.84,
2008-03-10,59.3,78.81,
2008-03-11,57.12,76.63,
2008-03-12,58.12,77.78,
2008-03-13,56.49,76.46,
2008-03-14,54.81,74.31,
2008-03-17,54.51,73.53,
2008-03-18,51.22,69.16,
2008-03-19,46.88,65.53,
2008-03-20,48.84,67.17,
2008-03-21,50.51,69.33,
2008-03-24,50.95,70.22,
2008-03-25,49.78,69.01,
2008-03-26,50.48,69.57,
2008-03-27,50.46,69.28,
2008-03-28,48.16,66.65,
2008-03-31,48.86,68.28,
2008-04-01,46.78,65.61,
2008-04-02,43.28,61.35,
2008-04-03,41.48,58.65,
2008-04-07,42.39,60.12,
2008-04-08,45.23,62.74,
2008-04-09,45.95,64.39,
2008-04-10,43.51,61.06,
2008-04-11,44.47,62.34,
2008-04-14,45.23,63.19,
2008-04-15,42.03,59.91,
2008-04-16,43.26,61.86,
2008-04-17,42.51,60.52,
2008-04-18,41.02,58.84,
2008-04-21,38.47,56.14,
2008-04-22,38.01,56.22,
2008-04-23,37.25,54.34,
2008-04-24,38.52,55.88,
2008-04-25,41.75,58.12,
2008-04-28,41.61,58.09,
2008-04-29,40.7,57.25,
2008-04-30,40.44,56.41,
2008-05-05,41.97,58.25,
2008-05-06,43.8,59.99,
2008-05-07,43.53,59.87,
2008-05-08,41.76,58.18,
2008-05-09,43.14,59.84,
2008-05-12,43.46,59.87,
2008-05-13,44.14,60.78,
2008-05-14,44.34,61.36,
2008-05-15,45.31,62.15,
2008-05-16,45.05,61.54,
2008-05-19,44.39,61.35,
2008-05-20,44.24,61.46,
2008-05-21,41.54,58.0,
2008-05-22,42.27,59.3,
2008-05-23,41.86,59.53,
2008-05-26,41.59,58.74,
2008-05-27,40.39,56.99,
2008-05-28,40.63,57.24,
2008-05-29,41.7,58.47,
2008-05-30,40.7,57.49,
2008-06-02,40.76,57.81,
2008-06-03,41.37,58.32,
2008-06-04,40.97,57.85,
2008-06-05,40.52,57.06,
2008-06-06,40.0,56.34,
2008-06-10,39.98,55.88,
2008-06-11,36.74,53.01,
2008-06-12,36.15,51.76,
2008-06-13,35.62,51.19,
2008-06-16,34.36,49.52,
2008-06-17,33.54,48.96,
2008-06-18,32.06,46.95,
2008-06-19,33.68,48.35,
2008-06-20,31.08,45.72,
2008-06-23,31.87,46.31,
2008-06-24,31.23,45.64,
2008-06-25,31.89,46.99,
2008-06-26,33.55,48.45,
2008-06-27,34.0,48.79,
2008-06-30,31.81,46.34,
2008-07-01,31.97,46.63,
2008-07-02,31.47,45.89,
2008-07-03,31.92,46.43,
2008-07-04,33.08,48.09,
2008-07-07,33.07,48.32,
2008-07-08,34.49,50.19,
2008-07-09,34.99,50.48,
2008-07-10,35.98,51.75,
2008-07-11,35.16,50.55,
2008-07-14,34.97,49.98,
2008-07-15,35.86,50.96,
2008-07-16,34.76,49.58,
2008-07-17,33.07,47.89,
2008-07-18,32.72,47.37,
2008-07-21,33.77,48.64,
2008-07-22,34.98,50.14,
2008-07-23,35.1,50.24,
2008-07-24,34.91,49.44,
2008-07-25,35.74,50.41,
2008-07-28,35.46,50.17,
2008-07-29,35.83,50.72,
2008-07-30,34.99,49.84,
2008-07-31,34.6,49.71,
2008-08-01,33.58,47.9,
2008-08-04,34.23,48.77,
2008-08-05,33.28,47.89,
